              mu	           sigma	          energy	      acceptance	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+10	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
        0.772785	        0.607523	    -4.46433e+11	               0	
